來源文字 ID,譯文 — 英文,譯文 — 閩南語（台灣）,譯文 — 中文（繁體）
setting.editor.option-open-tab-in-foreground-description,"When you open a link in a new tab, switch to it immediately.","When you open a link in a new tab, switch to it immediately.",當您在新分頁開啟連結後，立刻切換至該分頁。
setting.editor.option-default-editing-mode,Default editing mode,Default editing mode,預設編輯模式
setting.editor.option-default-editing-mode-description,The default editing mode a new pane will start with.,The default editing mode a new pane will start with.,新窗格預設啟動的編輯模式。
setting.editor.option-default-editing-mode-source,Source mode,Source mode,原始碼模式
setting.editor.option-default-editing-mode-live-preview,Live Preview,Live Preview,實際預覽
setting.editor.option-show-line-number,Show line number,Show line number,顯示行號
setting.editor.option-show-line-number-description,Show line number in the gutter.,Show line number in the gutter.,在左側顯示行號。
setting.editor.option-indentation-guide,Show indentation guides,Show indentation guides,顯示縮排指示
setting.editor.option-indentation-guide-description,Show vertical relationship lines between bullet points for visual guidance.,Show vertical relationship lines between bullet points for visual guidance.,在要點間顯示垂直關聯線，以提供視覺提示。
setting.editor.option-use-tabs,Use tabs,Use tabs,使用 Tab 鍵縮排
setting.editor.option-use-tabs-description,"Use tabs to indent when pressing the ""Tab"" key. Set this to off to use spaces.","Use tabs to indent when pressing the ""Tab"" key. Set this to off to use spaces.",按下 Tab 鍵可發送定位符來縮排。關閉此項後可發送空格來縮排。
setting.editor.option-tab-size,Tab size,Tab size,Tab 大小
setting.editor.option-tab-size-description,Number of spaces a tab is equivalent to.,Number of spaces a tab is equivalent to.,一個 Tab 等於幾個空白。
setting.editor.option-rtl,Right-to-left (RTL),Right-to-left (RTL),右至左 (RTL)
setting.editor.option-rtl-description,Sets the text direction of notes to display in right-to-left.,Sets the text direction of notes to display in right-to-left.,設定筆記的文字方向，讓文字能從右至左顯示。
setting.editor.option-auto-convert-html,Auto convert HTML,Auto convert HTML,自動轉換 HTML
setting.editor.option-auto-convert-html-description,Automatically convert HTML to Markdown when pasting and drag-and-drop from webpages. Use Ctrl/Cmd+Shift+V to paste without conversion.,Automatically convert HTML to Markdown when pasting and drag-and-drop from webpages. Use Ctrl/Cmd+Shift+V to paste without conversion.,由網頁貼入或拖入時自動轉換 HTML 為 Markdown，使用 Ctrl/Cmd+Shift+V 貼入則不轉換。
setting.editor.option-vim-key-bindings,Vim key bindings,Vim key bindings,Vim 鍵綁定
setting.editor.option-vim-key-bindings-description,Let you use Vim key bindings in the source editor.,Let you use Vim key bindings in the source editor.,允許在編輯器中使用 Vim 鍵綁定。
setting.editor.option-vim-key-bindings-mobile,"On mobile devices, this setting is per-device and is not synchronized through the config file.","On mobile devices, this setting is per-device and is not synchronized through the config file.",在行動裝置上，此設定不會透過設定檔同步，每部裝置可自行調整。
setting.editor.option-emacsy-keys,Legacy Emacs-style key bindings for macOS,Legacy Emacs-style key bindings for macOS,MacOS 的傳統 Emacs 式按鍵
setting.editor.option-emacsy-keys-description,"Allows you to use the additional Emacs-style navigation keys, which are standard on macOS, but may interfere with some key operations.","Allows you to use the additional Emacs-style navigation keys, which are standard on macOS, but may interfere with some key operations.",允許您使用額外的 Emacs 式方向鍵，雖是 MacOS 的標準，但可能干擾某些按鍵操作。
setting.editor.label-confirm-enable-vim,Confirm entering Vim mode,Confirm entering Vim mode,確認進入 Vim 模式
setting.editor.label-vim-warning,"Vim mode is for efficient text editing but can be quite counter-intuitive. If you're not familiar with Vim, this option might make it look like Obsidian has stopped working.","Vim mode is for efficient text editing but can be quite counter-intuitive. If you're not familiar with Vim, this option might make it look like Obsidian has stopped working.",Vim 模式可以快速編輯內容，但其操作可能會違反直覺。若您不熟悉 Vim，此選項可能會製造出 Obsidian 似乎停止運作的假象。
setting.editor.label-vim-test,"To verify that you know your way around Vim, please enter the command to quit Vim without saving below:","To verify that you know your way around Vim, please enter the command to quit Vim without saving below:",為驗證您確實知道如何操作 Vim，請輸入結束且不儲存的命令：
setting.editor.label-vim-your-answer,Your answer,Your answer,您的答案
setting.editor.placeholder-enter-command,Enter command...,Enter command...,輸入命令…
setting.editor.button-confirm-enable-vim,Let me enable Vim,Let me enable Vim,讓我啟用 Vim
setting.editor.msg-vim-mode-enabled,Command is correct. Vim mode now enabled.,Command is correct. Vim mode now enabled.,命令正確，Vim 模式已啟用。
setting.editor.msg-vim-mode-not-enabled,Command is incorrect. Vim mode remains disabled to protect you.,Command is incorrect. Vim mode remains disabled to protect you.,命令不正確。為了保護您，Vim 未被啟用。
setting.editor.msg-vim-mode-please-enter-command,Please enter the command to enable Vim mode,Please enter the command to enable Vim mode,請輸入命令以啟用 Vim 模式
setting.editor.option-legacy-editor,Use legacy editor,Use legacy editor,使用舊版編輯器
setting.editor.option-legacy-editor-description2,"The legacy editor will be deprecated soon. It is currently no longer maintained, and as such, bugs will no longer be addressed.","The legacy editor will be deprecated soon. It is currently no longer maintained, and as such, bugs will no longer be addressed.",舊版編輯器目前已不再維護，因此錯誤也不會被修正。很快就會被棄用。
setting.editor.label-legacy-deprecation,New editor is here,New editor is here,新版編輯器隆重登場
setting.editor.label-legacy-deprecation-1,Obsidian now has a brand new editor that's more robust and accessible.,Obsidian now has a brand new editor that's more robust and accessible.,Obsidian 現在有了全新的編輯器，更加強大且易用。
setting.editor.label-legacy-deprecation-2,"It seems you're still using the legacy editor, and we think you'll enjoy the new editor.","It seems you're still using the legacy editor, and we think you'll enjoy the new editor.",您似乎仍在使用舊版編輯器，我們覺得你會愛上新版的編輯器。
setting.editor.label-legacy-deprecation-choice,Which mode would you like to use?,Which mode would you like to use?,您想要使用哪種模式？
setting.editor.label-live-preview-description,"A more modern, what-you-see-is-what-you-get experience.","A more modern, what-you-see-is-what-you-get experience.",較為現代化，所見即所得的體驗。
setting.editor.label-source-mode-description,See raw Markdown with syntax highlighting.,See raw Markdown with syntax highlighting.,查看帶語法醒目提示的原始 Markdown。
setting.editor.button-start-new-editor,Start new editor,Start new editor,啟用新版編輯器
setting.file.name,Files & Links,Files & Links,檔案與連結
setting.file.option-confirm-file-deletion,Confirm file deletion,Confirm file deletion,確認刪除提示
setting.file.option-confirm-file-deletion-description,Whether you want to get prompted to confirm file deletion.,Whether you want to get prompted to confirm file deletion.,是否需要彈出提示對話窗以確認刪除檔案。
setting.file.option-delete-destination,Deleted files,Deleted files,刪除檔案設定
setting.file.option-delete-destination-description,What to do with files after you delete them.,What to do with files after you delete them.,要如何處理已刪除的檔案？
setting.file.option-choice-system-trash,Move to system trash,Move to system trash,移至資源回收筒
setting.file.option-choice-vault-trash,Move to Obsidian trash (.trash folder),Move to Obsidian trash (.trash folder),移至軟體回收筒（.trash 資料夾）
setting.file.option-choice-permanent-delete,Permanent delete,Permanent delete,永久刪除
setting.file.option-always-update-links,Always update internal links,Always update internal links,始終更新內部連結
setting.file.option-always-update-links-description,Whether to automatically update links after renaming a file or prompt.,Whether to automatically update links after renaming a file or prompt.,開啟後重新命名檔案時 Obsidian 會自動為您更新內部連結，關閉後則需要您手動確認是否更新
setting.file.option-new-note-location,New note default location,New note default location,新建筆記儲存位置
setting.file.option-new-note-location-description,Where to put newly created notes. Plugin settings will override this.,Where to put newly created notes. Plugin settings will override this.,指定新建筆記的儲存位置，外掛程式可能會修改此設定。
setting.file.option-choice-vault-root,Vault root,Vault root,儲存庫的根目錄
setting.file.option-choice-current-folder,Same folder as the file is in,Same folder as the file is in,目前開啟檔案所在的資料夾
setting.file.option-choice-specified-folder,In the folder specified below,In the folder specified below,下方指定的資料夾
setting.file.option-new-file-folder-path,Folder to create new notes in,Folder to create new notes in,儲存新建筆記的資料夾
setting.file.option-new-file-folder-path-description,Newly created notes will appear under this folder. Plugin settings will override this.,Newly created notes will appear under this folder. Plugin settings will override this.,指定儲存新筆記的資料夾，外掛程式可能會修改此設定。
setting.file.option-use-wiki-links,Use [[Wikilinks]],Use [[Wikilinks]],使用 [[Wikilinks]]
setting.file.option-use-wiki-links-description,Auto-generate Wikilinks for [[links]] and ![[images]] instead of Markdown links and images. Disable this option to generate Markdown links instead.,Auto-generate Wikilinks for [[links]] and ![[images]] instead of Markdown links and images. Disable this option to generate Markdown links instead.,自動產生 Wikilinks [[連結]] 與 ![[圖片]] 以取代 Markdown 連結與圖片。關閉本選項則產生 Markdown 格式。
setting.file.option-show-unsupported-files,Detect all file extensions,Detect all file extensions,偵測所有的副檔名
setting.file.option-show-unsupported-files-description,"Show files with any extension even if Obsidian can't open them natively, so that you can link to them and see them in File Explorer and Quick Switcher.","Show files with any extension even if Obsidian can't open them natively, so that you can link to them and see them in File Explorer and Quick Switcher.",即使 Obsidian 無法開啟，也會顯示所有的副檔名，因此可以連結到它們，並在檔案瀏覽器與快速切換對話窗看到這些檔案。
setting.file.option-link-autocompleted-format,New link format,New link format,內部連結格式
setting.file.option-link-autocompleted-format-description,What links to insert when auto generating internal links.,What links to insert when auto generating internal links.,設定在筆記中引用其他文件時插入 [[ ]] 中的檔案路徑類型。
setting.file.option-choice-shortest-linktext,Shortest path when possible,Shortest path when possible,以儘可能簡短的形式插入
setting.file.option-choice-relative-path,Relative path to file,Relative path to file,插入對應目前檔案的相對路徑
setting.file.option-choice-absolute-path,Absolute path in vault,Absolute path in vault,插入對應儲存庫的絕對路徑
setting.file.option-new-attachment-location,Default location for new attachments,Default location for new attachments,新附件的預設位置
setting.file.option-new-attachment-location-description,Where newly added attachments are placed.,Where newly added attachments are placed.,存放新加入附件的位置。
setting.file.option-choice-subdirectory,In subfolder under current folder,In subfolder under current folder,目前資料夾內的子目錄
setting.file.option-attachment-folder-path,Attachment folder path,Attachment folder path,附件資料夾路徑
setting.file.option-attachment-folder-path-description,"Newly created attachment files will appear here. That includes images created via drag and drop or pasting, and audio recordings.","Newly created attachment files will appear here. That includes images created via drag and drop or pasting, and audio recordings.",指定用於儲存附件的資料夾。新建的附件會儲存於此，如音訊記錄或透過拖曳或貼上建立的影像等。
setting.file.option-attachment-subfolder-path,Subfolder name,Subfolder name,子目錄名稱
setting.file.option-attachment-subfolder-path-description,"If your file is under ""vault/folder"", and your set subfolder name to ""attachments"", attachments will be saved to ""vault/folder/attachments"".","If your file is under ""vault/folder"", and your set subfolder name to ""attachments"", attachments will be saved to ""vault/folder/attachments"".",若檔案存在「vault/folder」，且子目錄名稱為「attachments」，則附件會被存在「vault/folder/attachments」。
setting.file.option-attachment-subfolder-path-placeholder,attachments,attachments,附件
setting.file.option-excluded-files,Excluded files,Excluded files,已排除的檔案
setting.file.option-excluded-files-desc,"Excluded files will be either hidden or less noticeable in various places, such as Quick Switcher, link suggestion, and Graph View.","Excluded files will be either hidden or less noticeable in various places, such as Quick Switcher, link suggestion, and Graph View.",已排除的檔案在不同的地方，如快速切換工具、連結建議，或是圖表檢視，可能會被隱藏或較為隱蔽。
setting.file.label-no-excluded-filters-applied,No excluded filter is applied right now. Add one below.,No excluded filter is applied right now. Add one below.,目前未套用任何篩選器。請在下方新增。
setting.file.label-excluded-filters-applied,Files matching the following filters are currently excluded:,Files matching the following filters are currently excluded:,目前符合以下篩選器的檔案將被排除：
setting.file.label-excluded-filter,Filter,Filter,篩選器
setting.file.message-empty-filter,Filter cannot be empty,Filter cannot be empty,篩選器不可空白
setting.file.placeholder-excluded-filter,"Enter path or ""/regex/""...","Enter path or ""/regex/""...",輸入路徑或 “/regex/”……
setting.appearance.name,Appearance,Appearance,外觀
setting.appearance.option-base-theme,Base theme,Base theme,基本佈景主題
setting.appearance.option-base-theme-description,Choose Obsidian’s default color scheme.,Choose Obsidian’s default color scheme.,選擇 Obsidian 預設的配色方案。
setting.appearance.option-accent-color,Accent color,Accent color,輔色
setting.appearance.option-accent-color-description,Choose the accent color used throughout the app.,Choose the accent color used throughout the app.,選擇整個應用程式使用的輔色。
setting.appearance.dark-theme,Dark,Dark,暗黑
setting.appearance.light-theme,Light,Light,明亮
setting.appearance.system-theme,Adapt to system,Adapt to system,與系統相同
setting.appearance.option-font,Font,Font,字型
setting.appearance.option-advanced,Advanced,Advanced,進階
setting.appearance.option-interface-font,Interface font,Interface font,介面字型
setting.appearance.option-interface-font-description,Set base font for all of Obsidian.,Set base font for all of Obsidian.,設定 Obsidian 的全域字型。
setting.appearance.option-zoom-level,Zoom level,Zoom level,縮放比例
setting.appearance.option-zoom-level-description,Controls the overall zoom level of the app.,Controls the overall zoom level of the app.,控制應用程式的整體縮放比例。
setting.appearance.option-text-font,Text font,Text font,文字字型
setting.appearance.option-text-font-description,Set font for editing and reading views.,Set font for editing and reading views.,設定編輯或閱讀模式的字型。
setting.appearance.option-monospace-font,Monospace font,Monospace font,等寬字型
setting.appearance.option-monospace-font-description,Set font for places like code blocks and frontmatter.,Set font for places like code blocks and frontmatter.,設定程式碼區塊及正文前頁等區域的字型。
setting.appearance.label-single-font-currently-in-effect,Currently applied font:,Currently applied font:,目前套用的字型：
setting.appearance.label-multiple-fonts-currently-in-effect,The following fonts are currently applied:,The following fonts are currently applied:,目前已套用下列字型：
setting.appearance.option-font-placeholder,Enter font name...,Enter font name...,輸入字型名稱……
setting.appearance.label-no-custom-font-set,No custom font is applied right now. Add one below.,No custom font is applied right now. Add one below.,目前未套用任何自訂字型。請在下方新增。
setting.appearance.label-font-applied,The first font from this list that is available on your system will be applied.,The first font from this list that is available on your system will be applied.,將套用此列表中首個您的系統可用的字型。
setting.appearance.msg-font-not-found,This font is not detected on your system.,This font is not detected on your system.,未在您的系統中偵測到此字型。
setting.appearance.msg-font-found,This font is detected on your system.,This font is detected on your system.,已在您的系統中偵測到此字型。
setting.appearance.label-font-name,Font name,Font name,字型名稱
setting.appearance.option-community-themes,Open community themes,Open community themes,查看社群主題
setting.appearance.option-community-themes-description,Preview and use amazing themes created by the community.,Preview and use amazing themes created by the community.,預覽、使用社群使用者建立的優秀主題。
setting.appearance.button-browse-community-themes,Browse,Browse,瀏覽
setting.appearance.option-font-size,Font size,Font size,字型大小
setting.appearance.option-font-size-description,Font size in pixels that affects editor and preview.,Font size in pixels that affects editor and preview.,字型大小的像素值會影響編輯器與預覽。
setting.appearance.option-font-size-action,Quick font size adjustment,Quick font size adjustment,快速字型大小調整
setting.appearance.option-font-size-action-description,"Adjust the font size using Ctrl + Scroll, or using the trackpad pinch-zoom gesture.","Adjust the font size using Ctrl + Scroll, or using the trackpad pinch-zoom gesture.",使用 [Ctrl+捲動] 調整字型大小，或使用觸控板的放大手勢。
setting.appearance.option-themes,Themes,Themes,佈景主題
setting.appearance.option-manage-themes-description,Manage installed themes and browse community themes.,Manage installed themes and browse community themes.,管理已安裝主題及瀏覽社群主題。
setting.appearance.option-theme-button-manage,Manage,Manage,管理
setting.appearance.option-choice-none,None,None,無
setting.appearance.option-native-menus,Native menus,Native menus,原生選單
setting.appearance.option-native-menus-desc,Menus throughout the app will match the operating system. They will not be affected by your theme.,Menus throughout the app will match the operating system. They will not be affected by your theme.,整個應用程式的選單將配合作業系統的風格，不受您的主題影響。
setting.appearance.button-reload-themes,Reload themes,Reload themes,重新載入佈景主題
setting.appearance.msg-reloaded-themes,Reloaded custom CSS themes.,Reloaded custom CSS themes.,已重新載入自訂 CSS 佈景主題。
setting.appearance.button-open-themes-folder,Open themes folder,Open themes folder,開啟佈景主題資料夾
setting.appearance.option-css-snippets,CSS snippets,CSS snippets,CSS 片段
setting.appearance.label-no-css-snippets-found,No CSS snippets found in the snippets folder.,No CSS snippets found in the snippets folder.,在 snippets 資料夾裡找不到 CSS 片段。
setting.appearance.no-snippet-description,"CSS Snippets are stored in ""{{path}}"".","CSS Snippets are stored in ""{{path}}"".",CSS 片段存放於 “{{path}}”。
setting.appearance.button-reload-snippets,Reload snippets,Reload snippets,重新載入 CSS 片段
setting.appearance.button-open-snippets-folder,Open snippets folder,Open snippets folder,開啟 CSS 片段資料夾
setting.appearance.msg-reloaded-snippets,Reloaded CSS snippets.,Reloaded CSS snippets.,已重新載入 CSS 片段。
setting.appearance.option-toggle-snippet-description,"Apply CSS snippet at ""{{path}}"".","Apply CSS snippet at ""{{path}}"".",在 “{{path}}” 套用 CSS 片段。
setting.appearance.label-installed-themes,Installed themes,Installed themes,已安裝主題
setting.appearance.label-screenshot-unavailable,Screenshot unavailable,Screenshot unavailable,尚無螢幕截圖
setting.appearance.label-default-theme,Default,Default,預設主題
setting.appearance.tooltip-click-to-enlarge,Click to enlarge,Click to enlarge,點選放大
setting.appearance.button-update,Update,Update,更新
setting.appearance.label-currently-selected,Selected,Selected,已選取
setting.appearance.option-frame-style,Window frame style,Window frame style,視窗框架樣式
setting.appearance.option-frame-description,Determines the styling of the title bar of Obsidian windows. Requires a full restart to take effect.,Determines the styling of the title bar of Obsidian windows. Requires a full restart to take effect.,決定 Obsidian 視窗標題列的樣式。需要完整重新啟動以生效。
setting.appearance.option-frame-hidden,Hidden (default),Hidden (default),隱藏 (預設)
setting.appearance.option-frame-obsidian,Obsidian frame,Obsidian frame,Obsidian 框架
setting.appearance.option-frame-native,Native frame,Native frame,原生框架
setting.appearance.option-configure-ribbon,Ribbon menu,Ribbon menu,功能區選單
setting.appearance.option-configure-ribbon-desc,Configure what commands appear in the ribbon menu in that navigation bar.,Configure what commands appear in the ribbon menu in that navigation bar.,設定哪些命令要出現在該導覽列的功能區選單中。
setting.appearance.option-mobile-quick-ribbon-item,Quick access ribbon item,Quick access ribbon item,快速存取功能區項目
setting.appearance.option-mobile-quick-ribbon-item-desc,Tapping on the ribbon item in the navigation menu will active this ribbon item. Tap and hold will still show the menu.,Tapping on the ribbon item in the navigation menu will active this ribbon item. Tap and hold will still show the menu.,點選導覽選單的功能區項目將啟用該項目。點選並按住仍會顯示選單。
setting.appearance.button-configure,Configure,Configure,設定
setting.appearance.label-additional-ribbon-items,Other ribbon items,Other ribbon items,其他功能區項目
setting.appearance.label-modal-configuration,Ribbon Configuration,Ribbon Configuration,功能區設定
setting.appearance.label-modal-configuration-desc,Choose what items you want to be active in the ribbon. Drag and drop to change the order.,Choose what items you want to be active in the ribbon. Drag and drop to change the order.,選擇您想要顯示在功能表中的項目。拖曳以調整排序。
setting.appearance.option-show-view-header,Show tab title bar,Show tab title bar,顯示分頁標題列
setting.appearance.option-show-view-header-desc,Display the header at the top of every tab.,Display the header at the top of every tab.,在每個分頁的上方顯示標題。
setting.appearance.msg-updates-found,Found {{count}} theme to update.,Found {{count}} theme to update.,有 {{count}} 個主題可更新。
setting.appearance.msg-updates-found_plural,Found {{count}} themes to update.,Found {{count}} themes to update.,有 {{count}} 個主題可更新。
setting.appearance.button-check-for-updates,Check for updates,Check for updates,檢查更新
setting.appearance.button-view-updates,View updates,View updates,檢視更新
setting.appearance.button-update-all-themes,Update all,Update all,全部更新
setting.appearance.label-current-themes,Current community themes,Current community themes,目前的社群主題
setting.appearance.label-currently-installed,You currently have {{count}} theme installed.,You currently have {{count}} theme installed.,您目前已安裝了 {{count}} 個主題。
setting.appearance.label-currently-installed_plural,You currently have {{count}} themes installed.,You currently have {{count}} themes installed.,您目前已安裝了 {{count}} 個主題。
setting.hotkeys.name,Hotkeys,Hotkeys,快速鍵
setting.hotkeys.option-search,Search hotkeys,Search hotkeys,搜尋快速鍵
setting.hotkeys.option-search-desc,Showing {{count}} hotkey.,Showing {{count}} hotkey.,顯示 {{count}} 個快速鍵。
setting.hotkeys.option-search-desc_plural,Showing {{count}} hotkeys.,Showing {{count}} hotkeys.,顯示 {{count}} 個快速鍵。
setting.hotkeys.option-search-conflict,{{count}} command with conflicts.,{{count}} command with conflicts.,有 {{count}} 個命令發生衝突。
setting.hotkeys.option-search-conflict_plural,{{count}} commands with conflicts.,{{count}} commands with conflicts.,有 {{count}} 個命令發生衝突。
setting.hotkeys.prompt-filter,Filter...,Filter...,搜尋……
setting.hotkeys.tooltip-delete-hotkey,Delete hotkey,Delete hotkey,刪除快速鍵
setting.hotkeys.label-waiting-for-hotkey-press,Press hotkey...,Press hotkey...,按下快速鍵……
setting.hotkeys.label-show-all,All,All,全部
setting.hotkeys.label-show-unassigned,Unassigned,Unassigned,未指定
setting.hotkeys.label-show-assigned,Assigned,Assigned,已指定
setting.hotkeys.label-show-user-assigned,Assigned by me,Assigned by me,由我指定
setting.hotkeys.tooltip-restore-default,Restore default,Restore default,還原至預設值
setting.hotkeys.tooltip-customize-command,Customize this command,Customize this command,自訂快速鍵
setting.hotkeys.tooltip-hotkey-single-conflict,"This hotkey conflicts with ""{{command}}""","This hotkey conflicts with ""{{command}}""",此快速鍵與「{{command}}」發生衝突
setting.hotkeys.tooltip-hotkey-multiple-conflicts,This hotkey conflicts with {{count}} other commands,This hotkey conflicts with {{count}} other commands,此快速鍵與其他 {{count}} 個命令發生衝突
setting.hotkeys.label-blank-hotkey,Blank,Blank,無
setting.about.name,About,About,關於
setting.about.label-commercial-license,Commercial license,Commercial license,商業授權
setting.about.label-license-key,License key,License key,授權
setting.about.license-key-placeholder,Your license key...,Your license key...,您的授權金鑰……
setting.about.label-activate-license,Activate license,Activate license,啟用授權
setting.about.button-activate,Activate,Activate,啟用
setting.about.label-unknown-version,Unknown,Unknown,無標題
setting.about.label-current-version,Current version:,Current version:,目前版本：
setting.about.label-install-version,(Installer version: {{version}}),(Installer version: {{version}}),（安裝程式版本：{{version}}）
setting.about.label-up-to-date,Your app is up to date!,Your app is up to date!,您使用的是最新版本！
setting.about.label-read-changelog,Read the changelog.,Read the changelog.,閱讀更新日誌
setting.about.label-manual-update-required,"To support the latest features and to receive the latest security patches, Obsidian needs a major installer update. You need to manually download and reinstall Obsidian.","To support the latest features and to receive the latest security patches, Obsidian needs a major installer update. You need to manually download and reinstall Obsidian.",Obsidian 需要一次較大的安裝程式更新，方能支援最新功能，以及接收最新的安全性修正。您需要自行下載並重新安裝 Obsidian。
setting.about.label-download,Download,Download,下載
setting.about.label-new-version-ready,A new version is ready to be installed.,A new version is ready to be installed.,準備安裝新版本。
setting.about.label-relaunch-to-update,Relaunch the app to update.,Relaunch the app to update.,重新啟動應用程式以進行更新。
setting.about.label-disabled-updates,Updates are disabled.,Updates are disabled.,已禁止更新功能。
setting.about.label-checking-for-updates,Checking for updates...,Checking for updates...,檢查更新…
setting.about.button-relaunch,Relaunch,Relaunch,重新啟動應用程式
setting.about.button-check-for-updates,Check for updates,Check for updates,檢查更新
setting.about.option-auto-update,Automatic updates,Automatic updates,自動更新
setting.about.option-auto-update-description,Turn this off to prevent the app from checking for updates.,Turn this off to prevent the app from checking for updates.,關閉後 Obsidian 將不會自動更新。
setting.about.option-get-help,Get help,Get help,取得協助
setting.about.option-get-help-description,Get help on using Obsidian.,Get help on using Obsidian.,取得關於使用 Obsidian 的協助。
setting.about.button-open,Open,Open,開啟
setting.about.option-language,Language,Language,語言
setting.about.option-language-description,Change the display language.,Change the display language.,更改介面語言。
setting.about.option-insider-build,Receive insider builds,Receive insider builds,接收內測版本
